"vertex","x","y"
"ACAd",-2488.24552240084,2300.03594243799
"ACAv",-3530.67108762461,2007.3174651579
"SSp",-3361.5192285508,-53.935989779479
"SSs",-1451.96291896986,93.158000260745
"MOp",-3970.49549952199,1276.90276324043
"MOs",-5422.85918087923,576.091835416339
"AI",-4282.88801377014,-1095.78140236079
"RSPd",415.601757097098,2737.24263268473
"RSPv",-940.629628109591,2689.67361486992
"CA1",-331.962359156472,3176.89255575397
"CA3",563.966440070012,-885.02562935357
"DG",746.250064380211,493.594326035398
"CLA",-2599.53000666707,-1889.63850457554
"BLA",-633.833364102161,-2201.62920998963
"CP",-2179.11614366663,-1547.3820774342
"ACB",-2988.59793029312,-992.724000314189
"AAA",-2121.54426766634,-2650.08583657419
"CEA",-1180.23216474091,-1512.57598405846
"VAL",-1750.37067038691,-763.084636560861
"VM",-551.006263994695,-1352.30648054573
"VPL",-1165.46243140981,213.340851312183
"VPM",-248.670081045121,-586.993462926972
"LP",-373.334386372444,1227.24928663107
"PO",-344.565429650009,241.734294076398
"AV",-1934.06298576465,-174.130360127694
"AM",-1499.87087190334,-681.799438809048
"LD",-1091.10884912564,969.196442391999
"MD",-1318.04137585595,-27.819096193177
"PVT",-1069.3767379683,188.80031764782
"PT",-1840.69601966967,-1062.12316372716
"MH",-898.99383488707,1395.90212763224
"LH",-699.91960065742,1307.24308944355
"ZI",501.000533588233,-655.921791871107
"PB",2111.14154970247,-250.961983089956
"PG",1508.32633004817,-2765.23621383508
"RN",780.895216332869,-866.991723456755
"RPO",2511.9203176069,-557.992291469501
"PAG",1335.08113451924,562.772934676884
"CENT",3253.6152491443,1164.52375658063
"CUL",3854.88322014061,2222.70167997797
"PYR",5067.13402356605,833.511010971734
"NOD",3799.15623122573,318.149753850007
"SIM",3260.01357370575,826.699997136994
"AN",3510.90152932838,-334.741483525324
"PRM",4856.17048699333,-843.52462689714
"PFL",2700.26942680835,-489.670223029747
"FN",3862.39902917335,1041.50779732219
"IP",3673.19033954591,-734.717386520438
"IO",3957.65040183381,-2887.44947848333
